# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "1" "-t" "gene" "-g" "gene_id" "-a" "/shared/ngs/illumina/henikoff/databases/human/hg19/gencode.v19.annotation.GRCh37.p13.gtf" "-o" "NK_hs_2006_S53.featureCounts.gene.tab" "NK_hs_2006_S53.bam" 
Geneid	Chr	Start	End	Strand	Length	NK_hs_2006_S53.bam
ENSG00000223972.4	chr1	11869	14412	+	2544	0
ENSG00000227232.4	chr1	14363	29806	-	15444	27
ENSG00000243485.2	chr1	29554	31109	+	1556	0
ENSG00000237613.2	chr1	34554	36081	-	1528	0
ENSG00000268020.2	chr1	52473	54936	+	2464	0
ENSG00000240361.1	chr1	62948	63887	+	940	0
ENSG00000186092.4	chr1	69091	70008	+	918	0
ENSG00000238009.2	chr1	89295	133566	-	44272	0
ENSG00000239945.1	chr1	89551	91105	-	1555	0
ENSG00000233750.3	chr1	131025	134836	+	3812	0
ENSG00000237683.5	chr1	134901	139379	-	4479	1
ENSG00000268903.1	chr1	135141	135895	-	755	0
ENSG00000269981.1	chr1	137682	137965	-	284	0
ENSG00000239906.1	chr1	139790	140339	-	550	0
ENSG00000241860.2	chr1	141474	173862	-	32389	3
ENSG00000222623.1	chr1	157784	157887	-	104	0
ENSG00000241599.1	chr1	160446	161525	+	1080	0
ENSG00000228463.4	chr1	227615	267253	-	39639	5
ENSG00000241670.2	chr1	228292	228775	-	484	0
ENSG00000237094.7	chr1	317720	453948	+	136229	1
ENSG00000250575.1	chr1	326096	328112	+	2017	0
ENSG00000233653.3	chr1	329431	332236	-	2806	0
ENSG00000224813.2	chr1	334126	334305	+	180	0
ENSG00000235249.1	chr1	367640	368634	+	995	0
ENSG00000269732.1	chr1	379105	379467	-	363	0
ENSG00000256186.1	chr1	450820	450910	-	91	0
ENSG00000236601.1	chr1	453633	460480	-	6848	0
ENSG00000236743.1	chr1	459656	461954	+	2299	0
ENSG00000236679.2	chr1	470971	471355	+	385	0
ENSG00000231709.1	chr1	521369	523833	-	2465	0
